Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Abkhazia*,PF,4,5,6,8,4,0,0,18,8,6,4,5,23,41
Afghanistan,NF,6,6,2,6,2,0,0,10,6,4,2,2,14,24
Albania,PF,3,3,8,13,7,0,0,28,13,9,9,9,40,68
Algeria,NF,6,5,4,4,3,0,0,11,7,5,5,7,24,35
Andorra,F,1,1,12,15,12,0,0,39,15,11,15,15,56,95
Angola,NF,6,6,3,6,1,0,0,10,5,3,3,3,14,24
Antigua and Barbuda,F,2,2,12,13,8,0,0,33,15,9,13,13,50,83
Argentina,F,2,2,11,14,8,0,0,33,14,11,10,14,49,82
Armenia,PF,5,4,5,7,4,0,0,16,9,6,5,9,29,45
Australia,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Austria,F,1,1,12,15,10,0,0,37,16,12,15,15,58,95
Azerbaijan,NF,7,6,1,2,1,0,0,4,2,1,2,5,10,14
Bahamas,F,1,1,12,16,10,0,0,38,15,12,13,13,53,91
Bahrain,NF,7,6,21,0,3,0,3,2,2,1,1,6,10,12
Bangladesh,PF,4,4,7,8,5,0,0,20,7,6,5,9,27,47
Barbados,F,1,1,12,16,12,0,0,40,16,12,14,15,57,97
Belarus,NF,7,6,0,4,1,0,0,5,3,3,2,7,15,20
Belgium,F,1,1,12,16,12,0,0,40,15,12,13,15,55,95
Belize,F,1,2,12,14,10,0,0,36,15,11,12,13,51,87
Benin,F,2,2,9,16,8,0,0,33,15,12,12,10,49,82
Bhutan,PF,3,4,10,10,9,0,1,28,9,4,6,8,27,55
Bolivia,PF,3,3,11,11,7,0,0,29,14,9,6,10,39,68
Bosnia and Herzegovina,PF,4,4,7,10,4,0,0,21,10,7,7,10,34,55
Botswana,F,3,2,10,10,8,0,0,28,12,10,11,11,44,72
Brazil,F,2,2,11,14,6,0,0,31,15,10,10,13,48,79
Brunei,NF,6,5,0,3,3,1,0,7,6,3,6,7,22,29
Bulgaria,F,2,2,11,14,8,0,0,33,14,11,10,12,47,80
Burkina Faso,PF,4,3,7,10,6,0,0,23,14,9,8,9,40,63
Burundi,NF,7,6,1,4,0,0,0,5,6,2,1,5,14,19
Cambodia,NF,6,5,4,4,3,0,0,11,8,3,3,6,20,31
Cameroon,NF,6,6,3,3,3,0,0,9,7,3,1,4,15,24
Canada,F,1,1,12,16,12,0,0,40,16,12,15,16,59,99
Cape Verde,F,1,1,12,15,10,0,0,37,15,11,14,13,53,90
Central African Republic,NF,7,7,3,2,0,0,1,4,4,1,0,1,6,10
Chad,NF,7,6,2,1,1,0,0,4,6,4,1,3,14,18
Chile,F,1,1,12,15,10,0,0,37,16,12,14,15,57,94
China,NF,7,6,0,1,2,0,2,1,3,3,2,6,14,15
Colombia,PF,3,3,10,11,8,0,0,29,12,5,8,10,35,64
Comoros,PF,3,4,9,11,4,0,0,24,10,7,8,6,31,55
Congo (Brazzaville),NF,7,5,1,2,2,0,0,5,7,6,2,7,22,27
Congo (Kinshasa),NF,7,6,0,3,1,0,0,4,8,3,0,4,15,19
Costa Rica,F,1,1,12,15,11,0,0,38,16,11,13,13,53,91
Cote d'Ivoire,PF,4,4,7,8,5,0,0,20,11,8,6,7,32,52
Crimea*,NF,7,6,0,0,0,0,1,-1,3,1,0,6,10,9
Croatia,F,1,2,12,15,10,0,0,37,14,12,11,13,50,87
Cuba,NF,7,6,0,0,1,0,0,1,5,0,3,6,14,15
Cyprus,F,1,1,11,16,11,0,0,38,15,12,15,14,56,94
Czech Republic,F,1,1,12,15,11,0,0,38,15,12,14,15,56,94
Denmark,F,1,1,12,16,12,0,0,40,16,12,14,15,57,97
Djibouti,NF,6,5,2,3,2,0,0,7,6,3,4,6,19,26
Dominica,F,1,1,12,16,10,0,0,38,15,12,15,15,57,95
Dominican Republic,PF,3,3,9,10,8,0,0,27,14,10,8,9,41,68
Ecuador,PF,3,4,7,11,6,0,0,24,11,6,6,10,33,57
Egypt,NF,6,5,3,4,2,0,0,9,5,4,2,6,17,26
El Salvador,F,2,3,11,14,9,0,0,34,12,8,8,8,36,70
Equatorial Guinea,NF,7,7,0,1,0,0,0,1,4,0,0,3,7,8
Eritrea,NF,7,7,0,0,1,0,0,1,0,0,0,2,2,3
Estonia,F,1,1,12,15,11,0,0,38,16,12,14,14,56,94
Ethiopia,NF,7,6,1,0,3,0,0,4,2,0,2,4,8,12
Fiji,PF,3,4,8,10,7,0,0,25,12,5,7,10,34,59
