Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Abkhazia*,PF,5,5,5,5,4,0,0,14,8,4,4,5,21,35
Afghanistan,NF,5,6,6,7,3,0,0,16,5,4,2,5,16,32
Albania,PF,3,3,8,11,7,0,0,26,13,8,10,9,40,66
Algeria,NF,6,5,4,4,3,0,0,11,7,6,5,7,25,36
Andorra,F,1,1,12,15,12,0,0,39,16,11,15,15,57,96
Angola,NF,6,5,4,6,1,0,0,11,8,6,4,3,21,32
Antigua and Barbuda,F,2,2,11,12,7,0,0,30,13,9,12,13,47,77
Argentina,F,2,2,11,15,6,0,0,32,14,11,10,13,48,80
Armenia,PF,6,4,4,4,3,0,0,11,8,5,5,9,27,38
Australia,F,1,1,12,15,12,0,0,39,16,12,14,15,57,96
Austria,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
Azerbaijan,NF,6,5,2,3,3,0,0,8,6,3,4,8,21,29
Bahamas,F,1,1,12,16,10,0,0,38,16,12,15,15,58,96
Bahrain,PF,5,5,21,8,4,0,2,13,8,3,3,7,21,34
Bangladesh,PF,4,4,9,9,4,0,0,22,8,8,5,9,30,52
Barbados,F,1,1,12,16,12,0,0,40,16,12,16,15,59,99
Belarus,NF,7,6,0,3,1,0,0,4,3,1,2,5,11,15
Belgium,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Belize,F,1,2,12,14,10,0,0,36,15,11,12,13,51,87
Benin,F,2,2,9,15,8,0,0,32,15,12,11,10,48,80
Bhutan,PF,4,5,7,7,6,0,1,19,8,3,5,8,24,43
Bolivia,PF,3,3,11,12,5,0,0,28,14,10,7,9,40,68
Bosnia and Herzegovina,PF,4,3,8,10,5,0,0,23,11,7,10,10,38,61
Botswana,F,2,2,10,11,9,0,0,30,14,10,13,11,48,78
Brazil,F,2,2,11,14,7,0,0,32,15,10,8,12,45,77
Brunei,NF,6,5,0,3,3,1,0,7,6,3,6,8,23,30
Bulgaria,F,2,2,12,15,8,0,0,35,14,11,11,11,47,82
Burkina Faso,PF,5,3,5,8,4,0,0,17,13,8,6,8,35,52
Burundi,PF,4,5,8,8,4,0,0,20,8,5,4,6,23,43
Cambodia,NF,6,5,3,5,3,0,0,11,10,5,2,6,23,34
Cameroon,NF,6,6,2,3,3,0,0,8,7,2,2,4,15,23
Canada,F,1,1,12,16,11,0,0,39,15,12,15,16,58,97
Cape Verde,F,1,1,12,15,10,0,0,37,15,11,14,13,53,90
Central African Republic,PF,5,5,7,7,3,0,0,17,10,6,3,4,23,40
Chad,NF,7,6,3,1,1,0,0,5,7,4,1,3,15,20
Chechnya*,NF,7,7,0,0,0,0,0,0,4,0,0,3,7,7
Chile,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
China,NF,7,6,0,1,1,0,0,2,3,2,2,7,14,16
Colombia,PF,3,4,10,9,7,0,0,26,12,5,7,10,34,60
Comoros,PF,3,4,9,11,5,0,0,25,10,6,8,6,30,55
Congo (Brazzaville),NF,6,5,2,4,3,0,0,9,9,7,2,6,24,33
Congo (Kinshasa),NF,6,6,6,3,2,0,0,11,6,4,0,1,11,22
Costa Rica,F,1,1,12,15,11,0,0,38,16,11,13,13,53,91
Cote d'Ivoire,NF,6,5,1,3,2,0,0,6,5,4,5,5,19,25
Croatia,F,2,2,12,14,9,0,0,35,14,12,10,13,49,84
Cuba,NF,7,6,0,0,1,0,0,1,2,1,2,3,8,9
Cyprus,F,1,1,11,16,11,0,0,38,15,12,15,15,57,95
Czech Republic,F,1,1,12,15,11,0,0,38,16,12,14,15,57,95
Denmark,F,1,1,12,16,12,0,0,40,16,12,14,15,57,97
Djibouti,PF,5,5,4,5,3,0,0,12,6,5,5,6,22,34
Dominica,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Dominican Republic,F,2,2,11,13,9,0,0,33,15,11,10,12,48,81
Ecuador,PF,3,3,9,14,6,0,0,29,14,10,6,10,40,69
Egypt,NF,6,5,1,4,2,0,0,7,5,2,4,7,18,25
