Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Papua New Guinea,PF,3,3,9,11,4,0,0,24,12,9,7,8,36,60
Paraguay,PF,3,3,11,11,4,0,0,26,12,8,6,10,36,62
Peru,F,2,3,11,14,7,0,0,32,15,8,8,10,41,73
Philippines,PF,4,3,6,10,7,0,0,23,14,8,6,10,38,61
Poland,F,1,1,12,16,10,0,0,38,16,12,13,14,55,93
Portugal,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Puerto Rico,F,1,1,12,15,10,0,0,37,16,11,14,14,55,92
Qatar,NF,6,5,2,2,3,3,0,10,8,2,4,4,18,28
Romania,F,2,2,11,14,7,0,0,32,14,11,12,12,49,81
Russia,NF,6,5,3,3,3,0,0,9,8,4,4,7,23,32
Rwanda,NF,6,5,3,4,4,0,0,11,7,3,6,7,23,34
Samoa,F,2,2,9,13,10,0,0,32,14,10,13,12,49,81
San Marino,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Sao Tome and Principe,F,2,2,11,14,8,0,0,33,15,10,12,10,47,80
Saudi Arabia,NF,7,6,0,0,1,3,0,4,4,0,3,2,9,13
Senegal,F,2,3,9,12,9,0,0,30,14,10,10,9,43,73
Serbia,F,3,2,9,13,7,0,0,29,14,11,9,13,47,76
Seychelles,PF,3,3,8,10,7,0,0,25,9,9,11,11,40,65
Sierra Leone,PF,3,3,10,12,4,0,0,26,12,8,8,9,37,63
Singapore,PF,5,4,4,6,7,0,0,17,9,3,8,12,32,49
Slovakia,F,1,1,12,15,10,0,0,37,16,12,12,14,54,91
Slovenia,F,1,1,12,15,11,0,0,38,15,12,14,12,53,91
Solomon Islands,PF,4,3,6,10,5,0,0,21,13,9,8,12,42,63
Somalia,NF,7,7,0,0,0,0,0,0,3,0,0,0,3,3
South Africa,F,2,2,12,14,9,0,0,35,15,12,12,12,51,86
South Korea,F,1,2,11,15,10,0,0,36,14,11,13,12,50,86
Spain,F,1,1,12,15,12,0,0,39,16,12,14,15,57,96
Sri Lanka,PF,4,4,8,7,6,0,0,21,8,8,6,9,31,52
St. Kitts and Nevis,F,1,1,12,16,11,0,0,39,15,12,12,14,53,92
St. Lucia,F,1,1,12,16,11,0,0,39,15,12,12,14,53,92
St. Vincent and the Grenadines,F,2,1,11,15,9,0,0,35,15,11,13,14,53,88
Sudan,NF,7,7,0,4,3,0,4,3,4,3,0,0,7,10
Suriname,F,2,2,12,13,8,0,0,33,15,11,9,10,45,78
Swaziland,NF,7,5,0,1,1,1,0,3,8,3,4,5,20,23
Sweden,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Switzerland,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
Syria,NF,7,6,0,0,1,0,0,1,2,0,1,5,8,9
Taiwan,F,2,1,10,15,9,0,0,34,16,11,15,13,55,89
Tajikistan,NF,6,5,2,4,3,0,0,9,6,4,4,5,19,28
Tanzania,PF,4,3,6,10,6,0,0,22,11,7,10,8,36,58
Thailand,PF,6,4,1,4,3,0,0,8,9,5,6,11,31,39
The Gambia,PF,5,4,6,7,4,0,0,17,10,6,7,8,31,48
Tibet*,NF,7,7,0,0,1,0,3,-2,0,0,0,4,4,2
Timor-Leste,PF,3,4,11,11,6,0,0,28,12,7,6,9,34,62
Togo,PF,5,5,4,7,3,0,0,14,8,6,4,6,24,38
Tonga,PF,5,3,3,9,3,0,0,15,12,5,11,12,40,55
Transnistria*,NF,6,6,2,4,1,0,0,7,6,2,2,5,15,22
Trinidad and Tobago,F,2,2,11,12,9,0,0,32,15,11,10,13,49,81
Tunisia,NF,7,5,1,3,1,0,0,5,4,2,4,8,18,23
Turkey,PF,3,3,10,12,7,0,0,29,12,7,8,10,37,66
Turkmenistan,NF,7,7,0,0,0,0,0,0,2,0,1,2,5,5
Tuvalu,F,1,1,12,15,10,0,0,37,16,12,15,14,57,94
Uganda,PF,5,4,4,7,4,0,0,15,11,6,6,7,30,45
Ukraine,F,3,2,10,13,6,0,0,29,13,10,10,11,44,73
United Arab Emirates,NF,6,5,1,2,2,4,0,9,7,3,3,4,17,26
United Kingdom,F,1,1,12,16,12,0,0,40,16,12,14,15,57,97
United States,F,1,1,11,16,11,0,0,38,16,11,14,15,56,94
Uruguay,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Uzbekistan,NF,7,7,0,0,0,0,0,0,1,0,0,2,3,3
Vanuatu,F,2,2,9,15,8,0,0,32,16,11,10,11,48,80
Venezuela,PF,4,4,8,8,3,0,0,19,9,6,5,8,28,47
Vietnam,NF,7,5,0,1,1,0,0,2,5,2,4,8,19,21
Western Sahara*,NF,7,6,0,0,0,0,2,-2,3,3,0,5,11,9
Yemen,PF,5,5,4,7,3,0,0,14,7,4,4,5,20,34
Zambia,PF,3,4,8,12,6,0,0,26,11,8,8,7,34,60
Zimbabwe,NF,7,6,1,4,0,0,0,5,5,2,1,1,9,14
