Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Abkhazia*,PF,4,5,7,7,4,0,0,18,8,5,4,5,22,40
Afghanistan,NF,6,6,3,6,2,0,0,11,6,4,2,3,15,26
Albania,PF,3,3,8,13,6,0,0,27,13,9,9,9,40,67
Algeria,NF,6,5,4,4,3,0,0,11,6,5,5,7,23,34
Andorra,F,1,1,12,15,12,0,0,39,16,11,15,15,57,96
Angola,NF,6,5,4,6,1,0,0,11,7,4,4,3,18,29
Antigua and Barbuda,F,2,2,11,13,7,0,0,31,14,9,13,13,49,80
Argentina,F,2,2,11,14,6,0,0,31,14,11,11,13,49,80
Armenia,PF,5,4,5,6,3,0,0,14,8,6,6,9,29,43
Australia,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
Austria,F,1,1,12,15,11,0,0,38,16,12,15,15,58,96
Azerbaijan,NF,6,6,1,3,2,0,0,6,4,2,4,6,16,22
Bahamas,F,1,1,12,16,10,0,0,38,16,12,15,15,58,96
Bahrain,NF,6,6,21,2,3,0,2,6,2,1,1,6,10,16
Bangladesh,PF,3,4,9,10,5,0,0,24,8,6,6,9,29,53
Barbados,F,1,1,12,16,12,0,0,40,16,12,16,15,59,99
Belarus,NF,7,6,0,3,1,0,0,4,3,1,1,5,10,14
Belgium,F,1,1,12,16,12,0,0,40,15,12,15,15,57,97
Belize,F,1,2,12,14,10,0,0,36,15,11,12,13,51,87
Benin,F,2,2,8,16,8,0,0,32,15,11,12,10,48,80
Bhutan,PF,3,4,10,10,9,0,1,28,9,4,6,8,27,55
Bolivia,PF,3,3,11,11,7,0,0,29,14,9,6,9,38,67
Bosnia and Herzegovina,PF,3,3,8,10,6,0,0,24,10,7,10,10,37,61
Botswana,F,3,2,10,10,8,0,0,28,13,10,12,11,46,74
Brazil,F,2,2,11,14,8,0,0,33,15,10,10,13,48,81
Brunei,NF,6,5,0,3,3,1,0,7,6,3,6,8,23,30
Bulgaria,F,2,2,10,14,7,0,0,31,14,11,11,11,47,78
Burkina Faso,PF,5,3,5,8,4,0,0,17,13,8,7,8,36,53
Burundi,PF,5,5,4,6,2,0,0,12,8,4,4,6,22,34
Cambodia,NF,6,5,3,4,3,0,0,10,9,3,2,6,20,30
Cameroon,NF,6,6,3,3,2,0,0,8,7,3,2,4,16,24
Canada,F,1,1,12,16,11,0,0,39,16,12,15,16,59,98
Cape Verde,F,1,1,12,15,10,0,0,37,15,11,14,13,53,90
Central African Republic,NF,7,7,0,1,0,0,1,0,4,1,0,1,6,6
Chad,NF,7,6,3,1,1,0,0,5,7,4,2,3,16,21
Chile,F,1,1,12,15,12,0,0,39,16,11,14,15,56,95
China,NF,7,6,0,1,2,0,1,2,4,3,2,6,15,17
Colombia,PF,3,4,10,11,7,0,0,28,12,5,7,10,34,62
Comoros,PF,3,4,9,11,5,0,0,25,10,6,8,6,30,55
Congo (Brazzaville),NF,6,5,1,3,3,0,0,7,8,6,2,7,23,30
Congo (Kinshasa),NF,6,6,3,4,2,0,0,9,7,3,0,1,11,20
Costa Rica,F,1,1,12,15,10,0,0,37,16,11,13,13,53,90
Cote d'Ivoire,PF,5,4,6,7,4,0,0,17,10,7,5,6,28,45
Croatia,F,1,2,12,15,9,0,0,36,14,12,11,13,50,86
Cuba,NF,7,6,0,0,1,0,0,1,3,0,2,6,11,12
Cyprus,F,1,1,11,16,10,0,0,37,15,11,15,14,55,92
Czech Republic,F,1,1,12,15,10,0,0,37,16,12,14,15,57,94
Denmark,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Djibouti,NF,6,5,3,3,3,0,0,9,7,3,4,6,20,29
Dominica,F,1,1,12,16,10,0,0,38,15,12,15,15,57,95
Dominican Republic,F,2,3,10,11,9,0,0,30,15,10,8,10,43,73
Ecuador,PF,3,3,7,11,6,0,0,24,13,7,6,10,36,60
Egypt,NF,6,5,1,6,2,0,0,9,6,4,4,8,22,31
El Salvador,F,2,3,12,14,9,0,0,35,15,8,9,10,42,77
Equatorial Guinea,NF,7,7,0,1,0,0,0,1,4,0,0,3,7,8
